Reference,Hypothesis,Inference Time (s)
apakah kamu punya mobil?,apa kamu pang mabil,0.12618541717529297
kami sedang belajar matematika agar dapat menganalisis permasalahan secara sistematis.,kami sedang belajar matematika agar dapat menganalisis permasalahan secara sistematis,0.5084719657897949
aku ingin tahu apa itu.,aku ingin tahu apa itu,0.17362546920776367
koneksi internetku terputus.,koneksi internetku terputus,0.18228387832641602
jadi dia memutuskan untuk menidurkan anjing lain.,jadi dia memutuskan untuk menidurkan anjing lain,0.29253387451171875
aku telah menunda kencanku karena harus kerja lembur.,aku telah menunda kencanku karena harus kerja lembur,0.27672767639160156
mereka disuruh mengibarkan bendera putih di milisi.,mereka disuruh mengugi barukan bendera putih dimilisi,0.3795511722564697
mengapa kamu tidak bekerja?,mengapa kamu tidak bekerja,0.18390941619873047
dia pura-pura tidur.,dia purapura tidur,0.18878936767578125
saya memesan masakan ini.,saya memesan masakan ini,0.17132925987243652
kamu harus menemukan pekerjaan.,kamu harus menemukan pekerjaan,0.17386388778686523
dia tidak bicara sepatah kata pun.,dia tidak bicara sepatah kata pun,0.18895483016967773
"kalau tidak suka, boleh berhenti.",kau kina suka boleh berhenti,0.17092108726501465
saya bernyanyi sambil berdiri.,saya bernyanyi sambil berdiri,0.17997002601623535
dia naik taksi ke museum.,dia naik taksi ke museum,0.17147302627563477
seperti menggantang asap,sleperki menggancang asa,0.2740190029144287
siapa yang memberikan izin?,siapa yang memberikan izin,0.2734973430633545
apa yang sedang kamu baca?,apa yang sedang kamu baca,0.18567585945129395
pelajaran kemarin lama.,pelajaran kemarin lama,0.1737816333770752
hampir tidak ada apa-apa di kamar tersebut.,hampir tidak ada apaapa di kamar tersebut,0.18427658081054688
kemarin hujan deras.,kemarin hujan deras,0.1292421817779541
menjelajah gunung adalah hobi kami yang tidak tergantikan.,manjalanja gunung adalah hobi kami yang tidak tergantikan,0.368877649307251
"ini adalah burung-burung dari hutan terbuka, sabana, atau semak berduri, dan umumnya hidup di pepohonan.",ini adalah burungburung dari hutan terbuka sa bana atau semak berduri dan umumnya hidup di pepohonan,0.7790303230285645
tiup semua lilin diatas kue ulang tahun dalam sekali tiup.,tiup semua lilin diatas kue ulang tahun dalam sekali tiup,0.3943965435028076
kamu kelihatan sedang bosan.,kamu kelihatan sedang bosan,0.18284249305725098
saya sangat lelah.,saya sangat lelah,0.1297142505645752
saeb sangat menyegani horace.,sayap sangat menyegani horis,0.18269729614257812
aku sering kali memikirkan ibuku yang telah meninggal.,aku sering kali memikirkan ibuku yang telah meninggal,0.2883601188659668
pemasangan kumparan endovaskuler dipilih untuk aneurisma yang terdapat di sirkulasi posterior.,pemasangan kumparan endo vas kulir ki pilih untuk aneirisma yang terdapat di sirkulasi posterior,0.6613285541534424
apa yang dia katakan benar-benar kebohongan.,apa yang dia katakan benarbenar kebohongan,0.2850470542907715
menurut saya yang kedua.,menurut saya yang kedua,0.17652273178100586
saya baru tahu libya pernah memiliki bendera yang hanya berwarna hijau polos.,saya baru tahu libya pernah memiliki bendera yang hanya berwarna hijau tolos,0.5196959972381592
sudah menyampaikan diatas mobil komando waktu itu dari korlapnya menyampaikan,sudah menyampaikan di atas mobil pemando waktu itu darikorlapnya menyampaikan,0.27603745460510254
dia awalnya mengaku tidak bersalah.,dia awalnya mengaku tidak bersalah,0.18367958068847656
keimutan adalah kebenaran.,keimotan adalah kebenaran,0.18649721145629883
jaga tanganmu tetap bersih.,jaga tanganmu tetap bersih,0.28145861625671387
bukankah tom sungguh tahu cara memasak?,bukankah tom sungguh tahu cara memasak,0.17345643043518066
sudah saatnya saya pulang ke rumah hari ini.,sudah saapnya saya pulang ke rumah hari ini,0.17139887809753418
semua kamus mengandung kesalahan.,semua kamus mengandung kesalahan,0.1854102611541748
kedalaman kolam tersebut tiga meter.,kedalaman kolam tersebut tiga meter,0.29682397842407227
aoi menari.,aoi menari,0.12320661544799805
bersikap lebih baiklah terhadap anak sendiri!,bersikap lebih baiklah terhadap anak sendiri,0.28270721435546875
"setelah minum arak, sebaiknya minum air.",setelah minnum arak sebaiknya minum air,0.17920541763305664
saya harus pergi ke sana demi ayah saya.,saya harus pergi ke sana demi ayah saya,0.29256582260131836
ngitungin lantai,ngitunggi lantai,0.07185244560241699
ada seekor kucing.,ada seekor kucing,0.17335915565490723
saya tidak mengetahui cara penggunaan komputer ini.,saya tidak mengetahui cara penggunaan komputer ini,0.2818179130554199
"seberapa pun kerasnya dia mencoba, dia tidak akan berhasil.",seberapa pun kerasnya dia mencoba dia tidak akan berhasil,0.27907490730285645
dia bermain biola dengan bagus.,dia bermain biola dengan bagus,0.17741990089416504
"ia berpangkalan di pelabuhan spanyol, trinidad.",ia berpangkalan di pelabuhan spanyul derini da,0.2922501564025879
"karena dari stasiun sampai sekolah jauh, saya naik bus.",karena dari stasiun sampai sekolah jauh saya naik bus,0.2995448112487793
dari mana kamu?,dari mana kami,0.17880940437316895
tom menuang brandy ke dalam gelas.,tom menuang brandy ke dalam gelas,0.2752053737640381
musim panas di jepang sangat panas.,musim panas di jepang sangat panas,0.2872030735015869
tidak boleh menggunakan pisau karena berbahaya.,tidak boleh menggunakan pisau karena berbahaya,0.2743384838104248
aku melihat dia menyeberang jalan.,aku melihat dia menyeberang jalan,0.17737221717834473
nasi padang,asi padang,0.05947566032409668
kamar saya tidak begitu luas.,kamar saya tidak begitu luas,0.18233013153076172
dia malas banget ketemu dokter gigi,dia malas banget ketemu dokter gigi,0.29414868354797363
nanti saya pergi mengembalikan buku ke perpustakaan.,nanti saya pergi mengambilkan buku ke perpustakaan,0.27736711502075195
saya lupa namanya.,saya lupa namannya,0.1293323040008545
hari ini aku mendapat pelajaran berharga,hari ini aku mendapat pelajaran terharga,0.2776675224304199
buku ini sesuai dengan kebutuhanmu.,buku ini sesuai dengan kebutuhanmu,0.17380809783935547
sebaiknya kita di rumah dan menonton televisi.,sebaiknya kita di rumah dan menonton televisi,0.2815537452697754
"saya bermaksud belajar di perpustakaan, tetapi tutup.",saya bermaksud belajar di perpustakaan tetapi tutup,0.28267788887023926
tom mengasuh tiga anak sendirian.,tom mengasuh tiga anak sendirien,0.1883985996246338
cepatlah!,cepatlah,0.11693191528320312
saya menyesal tidak bisa bergabung dengan anda.,saya menyosol bisak bisa bergabung dengan anda,0.17936110496520996
"karena bulan ini sibuk, tidak ada hari luang.",karena bulan ini sibuk tidak ada hari luang,0.37660980224609375
terima kasih atas kerja kerasmu.,terima kasih atas kerja kerasmu,0.18087100982666016
"dibandingkan rumahnya, rumahku terlihat lebih kecil.",di bandingkan rumahnya rumahku terlihat lebih kecil,0.3000617027282715
"seberapa banyak yang bertahan hidup, tidak diketahui.",seberapa banyak dang bertahan hidup tidak diketahui,0.2736077308654785
"makin lama, makin berguna.",makin nama makin berguna,0.19214367866516113
tanah tradisional mereka mencakup sebagian besar dataran tinggi hamersley range.,tanah tera diconal mereka mencakup sebagian besar dataran tinggi hamer seleiranj,0.5087828636169434
saya membersihkan kamar karena kotor.,saya membersihkan kamar karena kotor,0.17695951461791992
negara anda di mana.,negara anda di mana,0.27594733238220215
apakah jawaban saya tepat?,apakah jawaban saya cepat,0.17751836776733398
mendingan naik ojek daripada bus.,mandinga naik ojek daripada bus,0.180131196975708
nama anjing itu adalah ken.,nama anjing itu adalah ken,0.17953848838806152
saya sudah merasa baik karena minum obat.,saya sudah merasa baik karena minum obat,0.12682175636291504
aku tak bisa menahan diri untuk tidak tertawa.,aku tak bisa menahan diri untuk tidak tertawa,0.2921600341796875
boleh pinjam gunting?,boleh pinjam butih,0.1740555763244629
"dia masih belum datang, apa mungkin terjadi sesuatu dengannya?",dia masih belum datang apa mungkin terjadi sesuatu dengannya,0.5171711444854736
tom terus makan.,tom terus makan,0.18272113800048828
sepertinya dia yakin bahwa apa yang dia katakan adalah benar.,sepertinya dia yakin bahwa apa yang dia katakan alah benar,0.27835965156555176
saya puas dengan makan malam stik.,saya puas dengan makan malam stik,0.27452611923217773
saya menerima oleh-oleh dari teman yang pergi jalan-jalan.,saya menerumah oleholeh dari teman yang pergi jalanjalan,0.19139695167541504
harganya terlalu mahal!,harganya terlalu mahal,0.1715867519378662
"jika pihak yang lain tidak menawarkan informasi pribadi, lebih baik dibiarkan saja.",jika pihak yang lalin tidak menawarkan informasi dibadi lebih baik dibiarkan saja,0.5193676948547363
apa kosa kata itu?,apa kosa kata itu,0.17137956619262695
dia bukannya menyetir mobil?,dia bukan nia menyicir mobil,0.17357349395751953
saya tidak boleh makan ayam.,saya tidak boleh makan ayam,0.17904973030090332
dengan lincahnya pesawat kecil itu terbang berakrobat di udara,mnyeminjan nyak pesadat meci idu terpan berakhir kedara,0.390826940536499
"tutup logam dapat dibentuk sebelumnya atau dalam beberapa kasus, digulung setelah penerapan.",tutup logam dapat dibentuk sebelumnya tahu dalam beberapa kasus di gurung setelah penerapan,0.5151972770690918
hidup di penjara lebih buruk dibanding hidupnya seekor binatang.,hidup di penjara lebih buruk dibanding hidupnya seekor binatang,0.29088735580444336
saya senang sekali berjumpa denganmu.,saya senang sekali berjumpa denganmu,0.17408394813537598
itu diarahkan pada anggota gereja kerasulan baru.,ibu diarahkan pada anggorta deijat keluarah surdan tali,0.29783034324645996
banyak pohon di kebun saya sedang berbuah.,banyak pohon di kebun saya sedang berbuah,0.17559075355529785
lift ini berhenti dari lantai dua sampai lantai sembilan.,lift ini berhenti dari lantai dua sampai lantai sembilan,0.27937960624694824
saljunya menghilang.,saljunya menghilang,0.12119054794311523
kami tidak punya banyak masalah.,kami tidak punya bayak masalah,0.17373299598693848
salah satu hobiku musik klasik.,salah satu hobiku musik klasik,0.17462539672851562
"ketika aku kecil, ibu sering membacakan dongeng untukku.",ketika aku kecil ibu sering membacakan dongeng untukku,0.36863088607788086
ia mandiri secara ekonomi dari orang tuanya.,ia mandiri sjara ekonomi dari orang tuanya,0.2749314308166504
"terima kasih telah bertanya, keluargaku sedang dalam keadaan yang sangat baik.",terima kasih telah bertanya keluargaku sedang dalam keadaan yang sangat baik,0.401458740234375
forum tata kelola internet indonesia,fourum tata klola internet indonesia,0.2843821048736572
aku tidak bisa membaca pikiranmu.,aku tidak bisa membaca pikiranmu,0.17424821853637695
makan malam hari ini adalah kare.,makan malam hari ini adalah kare,0.18252301216125488
peraturan seharusnya dipatuhi.,peraturan seharusnya dipatohin,0.12640905380249023
"dilihat dari pesawat, pulau itu terlihat indah sekali.",dilihat dari pesawat pulau itu terlihat indah sekali,0.29873132705688477
apakah kamu gila?,apakah kamu gila,0.126983642578125
"sekarang, mereka belum sampai.",sekarang mereka belum sampai,0.17601394653320312
pak matsui bisa bermain gitar.,pak matsui bisa bermain gitar,0.1735825538635254
aku mengerti.,aku mengerti,0.12226057052612305
aku berterima kasih.,aku berterima kasih,0.12888622283935547
rambut tom sudah memutih.,rambut tom sudah memutih,0.1773369312286377
aku selalu berjalan ke sekolah.,aku selalu memberjalan ke sekolah,0.17186355590820312
apakah kalian pernah ke meksiko?,apakah ka yang pernah ke meksiko,0.1738433837890625
pintu harap ditutup!,pintu harap ditutup,0.18978261947631836
dia sudah tiba terlebih dahulu.,dia sudah tiba terlebih dahulu,0.17673134803771973
siapakah nama anda?,siapa nama anda,0.12874364852905273
jangan hilangkan buku ini karena sangat penting.,jangan hilangkan buku ini karena sangat penting,0.18597197532653809
banyak dari lagu religi di ladino yang merupakan terjemahan dari bahasa ibrani.,banyak dari laguredici diladino yang merupakan terjembahan dari bahasa ibrani,0.5017702579498291
ruangan ini serba guna.,ruangan ini serba guna,0.17381048202514648
saya pergi membeli baju.,saya pergi membeli baju,0.1290431022644043
"sebenarnya, sacilotto berhasil memperoleh suara yang banyak untuk mengalahkan carter tanpa perlu adanya preferensi.",sebenarnya sachiloto berhasung ym prole suara yang banyak untuk mengalahkan carter tanpa perlu adanya preperansi,0.7679746150970459
hai. nama saya jos silva. siapa nama anda?,hai nama saya josesilva siapa nama anda,0.376176118850708
di mana kamar kecilnya?,di mana kamar kecilnya,0.17052197456359863
saya sangat lelah.,saya sangat lelah,0.1765282154083252
kandang ayam itu sedang diperbaiki.,kandang ayam itu sedang diperbaiki,0.18573498725891113
makan makanan yang sehat,makaan makanan yang sehat,0.12686729431152344
di mana kamu membeli bunga-bunga itu?,di mana kamu membeli bunga bunga itu,0.1915426254272461
perubahan itu bagus.,perupahan itu bagus,0.12963008880615234
perkotaan di sekitar youngstown telah menolak kolaborasi di bidang ekonomi.,perkotaan disekitar yang stan telah menalak olabarasi di birang ekonomi,0.3993542194366455
pengendara sepeda sedang menaiki jejak daun berserakan.,pengendara sepeda sedang menaiki jejak dagun berserakan,0.29633212089538574
kamu dicari pada sambungan telepon. ini dari tom.,kamu dicari pada sambungan telepon ini dari tom,0.27263307571411133
"saya tahu anda telah menunggu lama, tapi bisakah anda menunggu sebentar lagi?",saya tahu anda telah menunggu lama tapi bisakah anda menunggu cinta lagi,0.401735782623291
dia hampir memuaskan dirinya sendiri.,dia hampir memuaskan dirinya sendiri,0.19115734100341797
"menurut pelatih, bob adalah perenang bagus.",menurut pelatih bahwa adalakuman tennang bagus,0.18306827545166016
setiap mobil membutuhkan waktu sekitar satu minggu untuk selesai.,setiap mobil membutuhkan waktu sejikar satu mimgu untuk selesai,0.293790340423584
bibi saya bekerja di toko bunga.,bibi saya bekerja di toko bunga,0.29291868209838867
hari sabtu tidak perlu pergi ke kantor.,hari sabtu tidak perlu pergi ke kantor,0.18545889854431152
menu set di kantin itu murah dan enak.,menu set di kantin itu murah dan enak,0.2732987403869629
ia ingin menyanyi sebagai karirnya.,ia ingin menyanyi sebagai karirnya,0.18881726264953613
"jadi, apa yang akan kita lakukan selagi menunggu?",jadi apa yang kita lakukan selaki menunggu,0.2777290344238281
natuna itu sebetulnya kategorinya saya bilang tadi itu adalah,natuna itu sebetunya kata gurinya saya bilang tadi itu adalah,0.28931117057800293
sayang sekali hujan.,sayang sekali hujan,0.17366886138916016
terdapat acara besar di pusat kota tokyo.,terdapat ajarah besar dikusa d kotatop dia,0.28396034240722656
tolong lepas topi anda di ruangan ini.,tolong lepas topi anda di ruangan ini,0.2918539047241211
dia tidak memiliki keturunan untuk menggantikannya.,dia tidak memiliki keturunan untuk menggantikannya,0.2928493022918701
pada awalnya aku mengira dia sakit.,pada awalnya aku mengira dia sakit,0.18366193771362305
buku ini milikmu?,buku ini milikmu,0.12627053260803223
kendaraan roda dua tidak boleh masuk melalui pintu depan.,kendaraan roda dua tidak boleh masuk melalui pintu depan,0.3877298831939697
musisi memiliki banyak teman.,musisi memiliki banyak teman,0.17214632034301758
dia kurang cocok menjadi guru.,dia kurang cocok menjadi guru,0.1710348129272461
dia tidak menjawab semua pertanyaan.,dia tidak menjawab semua pertanyaan,0.19156527519226074
ibu saya sedang membuat kue.,ibu saya sedang membuat kue,0.18910646438598633
aku dan john adalah teman lama.,aku dan john ayah telah lama,0.1806342601776123
dia merupakan atlet bulutangkis kelas dunia.,dia merupakan atlet buluh cangkis kelas dunia,0.2754480838775635
tidak ada anak laki-laki di kelas yang lebih tinggi dari bill.,tidak ada anak lakilaki di kelas yang lebih tinggi dari bill,0.28846096992492676
"anggur adalah pencemooh, minuman keras adalah pembuat ribut, dan siapa disesatkan olehnya tidaklah berhikmat.",anggur adalah pencemooh minuman keras a delah pembuat ribut dan siapa disakan olehnya tidaklah berhikmat,0.5351889133453369
cahaya itu akan terlihat jika aku terus berlari.,caya itu akan terlihat jika aku terus berlari,0.2862377166748047
baterai saya habis.,baterai saya habis,0.18870186805725098
pengetahuan tentang komputer adalah dasar daripada segala ilmu pengetahuan.,pengetahuan tenetang komputer adalah dasat dari pandas galah dilmu pengetahu,0.3753793239593506
dia meninggal dunia kemarin siang.,dia meninggal dunia kemarin siang,0.1918199062347412
di sini tempat yang sangat terkenal di jepang.,di sini tempat yang sangat terkenal di jepang,0.27387475967407227
minggu lalu adalah hari ulang tahun ibu saya.,minggu lalu adalah hari ulang tahun ibu saya,0.18555283546447754
saya yakin tom tidak menceritakan semuanya pada kita.,saya yakin tom tidak mceritakan semuanya pada kita,0.3918764591217041
"eh, ada kupu-kupu!",eh ada ku pukuku,0.17345690727233887
kamu harus belajar bahasa jepang lebih giat.,kamu harus belajar bahasa jepang lebih giat,0.12744903564453125
dia tak paham sejarah negeri ini. dan banyak hal lain,dia tak paham sejalah negeri ini dan banyak halain,0.2830796241760254
hal ini utamanya digunakan dalam bisnis baju jahitan tetapi sekarang sudah kuno.,hal ini utamanya digunakan dalam bisnis baju ja hitan tetapi sekarang sudah kunoh,0.39746928215026855
"saya bangun pada pukul tujuh pagi, sarapan di kantin, dan berlatih dari pukul delapan.",saya bangun pada pukul tujuh pagi sarapan di kantin dan berlatih dari pukul delapan,0.53102707862854
kemarin saya memberikan sambutan untuk pernikahan.,kemarin saya memberikan sambutan untuk pernikahan,0.28668880462646484
"namun, begitu orang kanada maju, prajurit jerman menghancurkan bendungan di hulu.",namun begitu orang kanada maju pelajuri jerman menghacurkan bendungan dihulu,0.508880615234375
ini adalah manna dari surga.,ini adalah manna dari surga,0.17927074432373047
saya sudah lulus sekolah.,saya sudah lulu sekolah,0.1276404857635498
apakah kamu tahu apa yang tom lakukan di sini?,apakah kamu tahu apa yang tom lakukan di sini,0.37801384925842285
pemain memukul bola kecil di sekitar es dengan tongkat yang disebut sapu.,pemain memyukul bola kecil di sekitar es dengan tonpat yang disedik saki,0.5073449611663818
orang hindu menyembah di kuil.,ara punggal menyimbangkuio,0.17670297622680664
tom banyak menghabiskan waktunya dengan membaca.,tom banyak menghabiskan waktunya dengan membaca,0.1817634105682373
saya kadang-kadang pergi ke toko buku di sana.,saya kanakadang pergi ke toko buku di sana,0.1892232894897461
ini di luar pertanyaan?,ini di luar pertanyaan,0.18555212020874023
"pusat warisan budaya memiliki banyak toko karya tangan, tanzanite, dan galeri seni.",pusat harisan bundaya memiliki banyak toko karea tangan tan zinet dan galiri seni,0.5320606231689453
kota ini melayani distrik peternakan sapi perah di sekitarnya.,kota ini melayani distrik percarenakan sapi perah di sekitarnya,0.29257965087890625
saya bosan.,saya bosan,0.12033915519714355
bintang yang bersinar di atas sana adalah jupiter,bintang yang bersinar di ata sana adalah jupiter,0.2791450023651123
antara jam sembilan dan setengah sembilan.,antara jam sembilan dan setengah sembilan,0.2849142551422119
"saya bertemu dua orang asing, satu dari kanada, satu lagi dari inggris.",saya bertemu dua orang asing satu dari kanada satu lagi dari inggris,0.4037947654724121
di rumahku cuma ada halaman kecil.,di rumahku cuma ada halaman kecil,0.1915597915649414
buddhisme bermula dari india.,buddhisme berbugla dari india,0.17920804023742676
udara bagi manusia layaknya air bagi ikan.,udara bagi manusia layaknya air bagi ikan,0.282092809677124
datanya sama sekali tidak akurat.,datanya sama sekali tidak akurat,0.18662500381469727
besok saya akan bertemu dengan teman orang luar negeri.,besok saya akan bertembu dengan teman worang luar negeri,0.29552388191223145
mona lisa dilukis oleh leonardo da vinci.,mona lisa ditulus oleh leonan sudah utavinsi,0.18607354164123535
tom tidak haus.,tom tikat haus,0.12408804893493652
tidak semua kertas kecil adalah cek.,tidak semua kertas kecil adalah ceck,0.17865657806396484
ia mabuk.,ia mabuk,0.12393856048583984
sehat itu penting,sehat itu penting,0.12898015975952148
kurang tidur tidak baik bagi kesehatan anda.,kurang tidur tidak baikbagi kesehatan anda,0.18287253379821777
jepang adalah negara yang sempit.,jepang adalah negara yang sempit,0.1822822093963623
